task,modality,resolved,unresolved,total,inference_status,validation_reference,numerical_test_best,reference_differs_from_test_best,most_frequent_split_winner,split_winner_frequency,maximum_score_range,maximum_range_model
BBBP,molecule,1,7,8,primary,ChemBERTa-77M,ChemBERTa-ZINC,True,ChemBERTa-77M,12,0.2528,ECFP4
ClinTox,molecule,4,3,7,primary,ChemBERTa-ZINC,ChemBERTa-ZINC,False,ChemBERTa-ZINC,10,0.3526,ECFP4
BACE,molecule,0,8,8,primary,ChemBERTa-ZINC,ECFP4,True,ECFP4,5,0.1929,ChemBERTa-ZINC
ESOL,molecule,2,6,8,primary,GROVER Large,GROVER Large,False,RDKit2D,8,0.4764,MolCLR GIN
Lipophilicity,molecule,7,1,8,primary,GROVER Large,GROVER Base,True,GROVER Base,11,0.2238,MolCLR GIN
CYP3A4,molecule,0,8,8,primary,RDKit2D,ChemBERTa-77M,True,ChemBERTa-ZINC,6,0.2856,ECFP4
DeepLoc,protein,5,0,5,primary,ESM-2 650M,ESM-2 650M,False,,,,
Fluorescence,protein,0,0,0,descriptive_only,3-mer frequency,3-mer frequency,False,,,,
Promoters,genomics,0,2,2,primary,Nucleotide Transformer 500M,HyenaDNA-tiny,True,,,,
