task,seed,rank,model_id,representation,score
CYP3A4,11,5,chemberta_77m,ChemBERTa-77M,0.5877
CYP3A4,11,6,grover_base,GROVER Base,0.5877
CYP3A4,11,7,chemberta_zinc,ChemBERTa-ZINC,0.5842
CYP3A4,11,8,molformer_xl,MoLFormer-XL,0.5608
CYP3A4,11,9,molclr_gin,MolCLR GIN,0.5069
CYP3A4,19,1,chemberta_zinc,ChemBERTa-ZINC,0.6809
CYP3A4,19,2,molformer_xl,MoLFormer-XL,0.6678
CYP3A4,19,3,unimol_v1,Uni-Mol v1,0.6617
CYP3A4,19,4,rdkit2d,RDKit2D,0.619
CYP3A4,19,5,grover_base,GROVER Base,0.6138
CYP3A4,19,6,grover_large,GROVER Large,0.6112
CYP3A4,19,7,ecfp4,ECFP4,0.6077
CYP3A4,19,8,chemberta_77m,ChemBERTa-77M,0.6016
CYP3A4,19,9,molclr_gin,MolCLR GIN,0.5754
CYP3A4,21,1,chemberta_zinc,ChemBERTa-ZINC,0.6972
CYP3A4,21,2,molformer_xl,MoLFormer-XL,0.6938
CYP3A4,21,3,rdkit2d,RDKit2D,0.686
CYP3A4,21,4,ecfp4,ECFP4,0.6808
CYP3A4,21,5,unimol_v1,Uni-Mol v1,0.66
CYP3A4,21,6,grover_large,GROVER Large,0.628
CYP3A4,21,7,molclr_gin,MolCLR GIN,0.6099
CYP3A4,21,8,grover_base,GROVER Base,0.609
CYP3A4,21,9,chemberta_77m,ChemBERTa-77M,0.6073
CYP3A4,29,1,ecfp4,ECFP4,0.6979
CYP3A4,29,2,chemberta_zinc,ChemBERTa-ZINC,0.691
CYP3A4,29,3,molformer_xl,MoLFormer-XL,0.6806
CYP3A4,29,4,rdkit2d,RDKit2D,0.6667
CYP3A4,29,5,chemberta_77m,ChemBERTa-77M,0.6571
CYP3A4,29,6,unimol_v1,Uni-Mol v1,0.6545
CYP3A4,29,7,grover_base,GROVER Base,0.6337
CYP3A4,29,8,grover_large,GROVER Large,0.6189
CYP3A4,29,9,molclr_gin,MolCLR GIN,0.5451
CYP3A4,31,1,rdkit2d,RDKit2D,0.6856
CYP3A4,31,2,chemberta_zinc,ChemBERTa-ZINC,0.6838
CYP3A4,31,3,grover_large,GROVER Large,0.6793
CYP3A4,31,4,molformer_xl,MoLFormer-XL,0.664
CYP3A4,31,5,grover_base,GROVER Base,0.6513
CYP3A4,31,6,chemberta_77m,ChemBERTa-77M,0.6378
CYP3A4,31,7,unimol_v1,Uni-Mol v1,0.6296
CYP3A4,31,8,ecfp4,ECFP4,0.5998
CYP3A4,31,9,molclr_gin,MolCLR GIN,0.5257
CYP3A4,37,1,chemberta_zinc,ChemBERTa-ZINC,0.6345
CYP3A4,37,2,molformer_xl,MoLFormer-XL,0.592
CYP3A4,37,3,chemberta_77m,ChemBERTa-77M,0.5911
CYP3A4,37,4,rdkit2d,RDKit2D,0.5807
CYP3A4,37,5,grover_large,GROVER Large,0.579
CYP3A4,37,6,unimol_v1,Uni-Mol v1,0.572
CYP3A4,37,7,grover_base,GROVER Base,0.5642
CYP3A4,37,8,molclr_gin,MolCLR GIN,0.5538
CYP3A4,37,9,ecfp4,ECFP4,0.4705
CYP3A4,42,1,rdkit2d,RDKit2D,0.7821
CYP3A4,42,2,ecfp4,ECFP4,0.7561
CYP3A4,42,3,chemberta_77m,ChemBERTa-77M,0.724
CYP3A4,42,4,molclr_gin,MolCLR GIN,0.717
CYP3A4,42,5,grover_base,GROVER Base,0.6997
CYP3A4,42,6,grover_large,GROVER Large,0.6849
CYP3A4,42,7,molformer_xl,MoLFormer-XL,0.678
CYP3A4,42,8,unimol_v1,Uni-Mol v1,0.6719
CYP3A4,42,9,chemberta_zinc,ChemBERTa-ZINC,0.6641
CYP3A4,53,1,chemberta_zinc,ChemBERTa-ZINC,0.6486
CYP3A4,53,2,ecfp4,ECFP4,0.6042
CYP3A4,53,3,grover_large,GROVER Large,0.5902
CYP3A4,53,4,molclr_gin,MolCLR GIN,0.5824
CYP3A4,53,5,molformer_xl,MoLFormer-XL,0.5806
CYP3A4,53,6,chemberta_77m,ChemBERTa-77M,0.5728
CYP3A4,53,7,rdkit2d,RDKit2D,0.5658
CYP3A4,53,8,grover_base,GROVER Base,0.5597
CYP3A4,53,9,unimol_v1,Uni-Mol v1,0.5179
CYP3A4,61,1,unimol_v1,Uni-Mol v1,0.7582
CYP3A4,61,2,molformer_xl,MoLFormer-XL,0.7445
CYP3A4,61,3,grover_large,GROVER Large,0.7308
CYP3A4,61,4,ecfp4,ECFP4,0.7225
CYP3A4,61,5,chemberta_77m,ChemBERTa-77M,0.7207
CYP3A4,61,6,chemberta_zinc,ChemBERTa-ZINC,0.7134
CYP3A4,61,7,rdkit2d,RDKit2D,0.6923
CYP3A4,61,8,grover_base,GROVER Base,0.6648
CYP3A4,61,9,molclr_gin,MolCLR GIN,0.598
CYP3A4,67,1,chemberta_77m,ChemBERTa-77M,0.7011
CYP3A4,67,2,chemberta_zinc,ChemBERTa-ZINC,0.6755
CYP3A4,67,3,molformer_xl,MoLFormer-XL,0.649
CYP3A4,67,4,ecfp4,ECFP4,0.6428
CYP3A4,67,5,rdkit2d,RDKit2D,0.6401
CYP3A4,67,6,grover_large,GROVER Large,0.6198
CYP3A4,67,7,grover_base,GROVER Base,0.6021
CYP3A4,67,8,unimol_v1,Uni-Mol v1,0.5615
CYP3A4,67,9,molclr_gin,MolCLR GIN,0.5411
CYP3A4,73,1,chemberta_77m,ChemBERTa-77M,0.7561
CYP3A4,73,2,chemberta_zinc,ChemBERTa-ZINC,0.7231
CYP3A4,73,3,unimol_v1,Uni-Mol v1,0.7222
CYP3A4,73,4,molformer_xl,MoLFormer-XL,0.7196
CYP3A4,73,5,ecfp4,ECFP4,0.6719
CYP3A4,73,6,rdkit2d,RDKit2D,0.645
CYP3A4,73,7,grover_large,GROVER Large,0.6311
CYP3A4,73,8,molclr_gin,MolCLR GIN,0.6302
CYP3A4,73,9,grover_base,GROVER Base,0.6181
CYP3A4,79,1,molformer_xl,MoLFormer-XL,0.6985
CYP3A4,79,2,unimol_v1,Uni-Mol v1,0.6534
CYP3A4,79,3,rdkit2d,RDKit2D,0.6401
CYP3A4,79,4,ecfp4,ECFP4,0.6242
CYP3A4,79,5,chemberta_zinc,ChemBERTa-ZINC,0.6216
CYP3A4,79,6,chemberta_77m,ChemBERTa-77M,0.6198
CYP3A4,79,7,grover_large,GROVER Large,0.5729
CYP3A4,79,8,grover_base,GROVER Base,0.5429
CYP3A4,79,9,molclr_gin,MolCLR GIN,0.5146
CYP3A4,89,1,molformer_xl,MoLFormer-XL,0.6923
CYP3A4,89,2,unimol_v1,Uni-Mol v1,0.6786
CYP3A4,89,3,chemberta_77m,ChemBERTa-77M,0.6685
CYP3A4,89,4,ecfp4,ECFP4,0.6639
CYP3A4,89,5,chemberta_zinc,ChemBERTa-ZINC,0.6447
CYP3A4,89,6,rdkit2d,RDKit2D,0.6401
CYP3A4,89,7,grover_large,GROVER Large,0.6392
CYP3A4,89,8,grover_base,GROVER Base,0.6355
CYP3A4,89,9,molclr_gin,MolCLR GIN,0.5888
CYP3A4,97,1,chemberta_77m,ChemBERTa-77M,0.7411
CYP3A4,97,2,unimol_v1,Uni-Mol v1,0.729
CYP3A4,97,3,rdkit2d,RDKit2D,0.7186
CYP3A4,97,4,chemberta_zinc,ChemBERTa-ZINC,0.7056
CYP3A4,97,5,molclr_gin,MolCLR GIN,0.6935
CYP3A4,97,6,ecfp4,ECFP4,0.69
CYP3A4,97,7,grover_large,GROVER Large,0.6814
CYP3A4,97,8,grover_base,GROVER Base,0.6753
CYP3A4,97,9,molformer_xl,MoLFormer-XL,0.6632
CYP3A4,101,1,molformer_xl,MoLFormer-XL,0.6792
CYP3A4,101,2,chemberta_zinc,ChemBERTa-ZINC,0.646
CYP3A4,101,3,chemberta_77m,ChemBERTa-77M,0.6443
CYP3A4,101,4,ecfp4,ECFP4,0.5972
CYP3A4,101,5,rdkit2d,RDKit2D,0.5963
CYP3A4,101,6,unimol_v1,Uni-Mol v1,0.585
CYP3A4,101,7,grover_large,GROVER Large,0.5728
CYP3A4,101,8,molclr_gin,MolCLR GIN,0.544
CYP3A4,101,9,grover_base,GROVER Base,0.5353
CYP3A4,109,1,molformer_xl,MoLFormer-XL,0.6844
CYP3A4,109,2,chemberta_zinc,ChemBERTa-ZINC,0.6631
CYP3A4,109,3,chemberta_77m,ChemBERTa-77M,0.6021
CYP3A4,109,4,molclr_gin,MolCLR GIN,0.5933
CYP3A4,109,5,ecfp4,ECFP4,0.5915
CYP3A4,109,6,rdkit2d,RDKit2D,0.5906
CYP3A4,109,7,grover_large,GROVER Large,0.5862
CYP3A4,109,8,grover_base,GROVER Base,0.5721
CYP3A4,109,9,unimol_v1,Uni-Mol v1,0.5447
CYP3A4,127,1,ecfp4,ECFP4,0.6817
CYP3A4,127,2,grover_large,GROVER Large,0.6436
CYP3A4,127,3,chemberta_77m,ChemBERTa-77M,0.641
CYP3A4,127,4,molclr_gin,MolCLR GIN,0.6298
CYP3A4,127,5,rdkit2d,RDKit2D,0.6254
CYP3A4,127,6,unimol_v1,Uni-Mol v1,0.6003
CYP3A4,127,7,grover_base,GROVER Base,0.5986
CYP3A4,127,8,molformer_xl,MoLFormer-XL,0.558
CYP3A4,127,9,chemberta_zinc,ChemBERTa-ZINC,0.5234
CYP3A4,137,1,chemberta_zinc,ChemBERTa-ZINC,0.7416
CYP3A4,137,2,ecfp4,ECFP4,0.7272
CYP3A4,137,3,grover_large,GROVER Large,0.7064
CYP3A4,137,4,molformer_xl,MoLFormer-XL,0.7055
CYP3A4,137,5,grover_base,GROVER Base,0.6965
CYP3A4,137,6,chemberta_77m,ChemBERTa-77M,0.6874
CYP3A4,137,7,unimol_v1,Uni-Mol v1,0.6829
CYP3A4,137,8,rdkit2d,RDKit2D,0.6703
CYP3A4,137,9,molclr_gin,MolCLR GIN,0.6495
CYP3A4,149,1,grover_base,GROVER Base,0.7559
CYP3A4,149,2,grover_large,GROVER Large,0.7515
CYP3A4,149,3,ecfp4,ECFP4,0.7463
CYP3A4,149,4,rdkit2d,RDKit2D,0.7376
CYP3A4,149,5,chemberta_77m,ChemBERTa-77M,0.6792
CYP3A4,149,6,chemberta_zinc,ChemBERTa-ZINC,0.6748
CYP3A4,149,7,molclr_gin,MolCLR GIN,0.6469
CYP3A4,149,8,molformer_xl,MoLFormer-XL,0.6399
CYP3A4,149,9,unimol_v1,Uni-Mol v1,0.6138
